,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, wui, india_gdp]",-0.014,0.097,-0.197,0.164,0.001,0.003,4239.0,1236.0,1.0
"lag_coefs[-2, wui, japan_gdp]",0.0,0.103,-0.194,0.203,0.002,0.003,4092.0,1345.0,1.0
"lag_coefs[-2, china_gdp, World_oil_prod]",0.004,0.092,-0.173,0.169,0.001,0.002,3967.0,1626.0,1.0
"lag_coefs[-2, china_gdp, Real_price_oil]",0.004,0.021,-0.034,0.041,0.0,0.0,2963.0,1604.0,1.0
"lag_coefs[-2, china_gdp, glob_eco_act]",0.013,0.096,-0.172,0.182,0.002,0.002,3862.0,1368.0,1.0
"lag_coefs[-2, china_gdp, usdinr]",-0.035,0.078,-0.176,0.113,0.001,0.001,3797.0,1572.0,1.0
"lag_coefs[-2, china_gdp, usdyen]",0.033,0.076,-0.113,0.171,0.001,0.002,3645.0,1530.0,1.0
"lag_coefs[-2, china_gdp, usdyuan]",-0.035,0.095,-0.212,0.154,0.002,0.002,4012.0,1247.0,1.0
"lag_coefs[-2, china_gdp, wui]",-0.013,0.01,-0.033,0.006,0.0,0.0,3148.0,1624.0,1.0
"lag_coefs[-2, china_gdp, china_gdp]",-0.109,0.048,-0.202,-0.024,0.001,0.001,1853.0,1656.0,1.0
"lag_coefs[-2, china_gdp, india_gdp]",0.14,0.072,0.006,0.271,0.001,0.001,3701.0,1692.0,1.0
"lag_coefs[-2, china_gdp, japan_gdp]",-0.032,0.074,-0.175,0.101,0.001,0.001,3254.0,1452.0,1.0
"lag_coefs[-2, india_gdp, World_oil_prod]",0.034,0.094,-0.143,0.206,0.002,0.002,3757.0,1322.0,1.0
"lag_coefs[-2, india_gdp, Real_price_oil]",-0.06,0.034,-0.128,0.001,0.001,0.0,3595.0,1464.0,1.0
"lag_coefs[-2, india_gdp, glob_eco_act]",0.008,0.098,-0.172,0.195,0.002,0.003,3712.0,1411.0,1.01
"lag_coefs[-2, india_gdp, usdinr]",-0.063,0.09,-0.231,0.102,0.001,0.002,3827.0,1289.0,1.0
"lag_coefs[-2, india_gdp, usdyen]",-0.017,0.09,-0.181,0.145,0.001,0.002,4484.0,1799.0,1.0
"lag_coefs[-2, india_gdp, usdyuan]",0.022,0.099,-0.15,0.217,0.001,0.002,5140.0,1482.0,1.0
"lag_coefs[-2, india_gdp, wui]",0.009,0.019,-0.027,0.043,0.0,0.0,3240.0,1692.0,1.0
"lag_coefs[-2, india_gdp, china_gdp]",0.067,0.061,-0.054,0.171,0.001,0.001,2119.0,1723.0,1.0
"lag_coefs[-2, india_gdp, india_gdp]",0.083,0.088,-0.08,0.257,0.001,0.002,3420.0,1633.0,1.0
"lag_coefs[-2, india_gdp, japan_gdp]",0.058,0.085,-0.102,0.217,0.001,0.002,3343.0,1498.0,1.01
"lag_coefs[-2, japan_gdp, World_oil_prod]",0.026,0.095,-0.148,0.205,0.001,0.002,4233.0,1378.0,1.0
"lag_coefs[-2, japan_gdp, Real_price_oil]",-0.053,0.043,-0.139,0.023,0.001,0.001,4447.0,1493.0,1.0
"lag_coefs[-2, japan_gdp, glob_eco_act]",-0.014,0.098,-0.199,0.171,0.001,0.003,5744.0,1416.0,1.0
"lag_coefs[-2, japan_gdp, usdinr]",0.02,0.096,-0.154,0.204,0.002,0.003,3551.0,1436.0,1.0
"lag_coefs[-2, japan_gdp, usdyen]",0.008,0.09,-0.151,0.187,0.001,0.002,5247.0,1612.0,1.0
