,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-4, Real_price_oil, wui]",0.035,0.061,-0.08,0.142,0.001,0.001,4023.0,1666.0,1.0
"lag_coefs[-4, glob_eco_act, World_oil_prod]",0.002,0.073,-0.142,0.13,0.001,0.002,3850.0,1538.0,1.0
"lag_coefs[-4, glob_eco_act, Real_price_oil]",0.001,0.01,-0.018,0.021,0.0,0.0,3045.0,1780.0,1.0
"lag_coefs[-4, glob_eco_act, glob_eco_act]",-0.058,0.077,-0.202,0.081,0.001,0.001,4263.0,1528.0,1.0
"lag_coefs[-4, glob_eco_act, usdinr]",0.007,0.047,-0.08,0.092,0.001,0.001,3511.0,1688.0,1.0
"lag_coefs[-4, glob_eco_act, usdyen]",-0.024,0.04,-0.096,0.054,0.001,0.001,2685.0,1757.0,1.0
"lag_coefs[-4, glob_eco_act, usdyuan]",0.021,0.089,-0.141,0.193,0.001,0.002,3818.0,1524.0,1.0
"lag_coefs[-4, glob_eco_act, wui]",-0.004,0.005,-0.014,0.005,0.0,0.0,3239.0,1508.0,1.0
"lag_coefs[-4, usdinr, World_oil_prod]",-0.031,0.097,-0.224,0.154,0.001,0.002,4469.0,1532.0,1.0
"lag_coefs[-4, usdinr, Real_price_oil]",0.027,0.029,-0.03,0.082,0.001,0.001,3359.0,1223.0,1.0
"lag_coefs[-4, usdinr, glob_eco_act]",0.005,0.093,-0.162,0.182,0.001,0.002,4219.0,1556.0,1.0
"lag_coefs[-4, usdinr, usdinr]",-0.063,0.085,-0.216,0.105,0.001,0.002,4271.0,1500.0,1.0
"lag_coefs[-4, usdinr, usdyen]",-0.029,0.079,-0.177,0.114,0.001,0.002,4671.0,1401.0,1.0
"lag_coefs[-4, usdinr, usdyuan]",-0.015,0.1,-0.192,0.176,0.002,0.003,3578.0,1356.0,1.0
"lag_coefs[-4, usdinr, wui]",0.007,0.016,-0.025,0.036,0.0,0.0,3304.0,1443.0,1.0
"lag_coefs[-4, usdyen, World_oil_prod]",0.006,0.096,-0.161,0.204,0.001,0.003,4435.0,1403.0,1.0
"lag_coefs[-4, usdyen, Real_price_oil]",0.018,0.033,-0.045,0.077,0.001,0.001,3936.0,1773.0,1.0
"lag_coefs[-4, usdyen, glob_eco_act]",0.009,0.096,-0.181,0.179,0.002,0.003,4044.0,1352.0,1.0
"lag_coefs[-4, usdyen, usdinr]",0.046,0.092,-0.124,0.204,0.001,0.002,4640.0,1555.0,1.0
"lag_coefs[-4, usdyen, usdyen]",0.053,0.081,-0.097,0.204,0.001,0.001,4511.0,1716.0,1.0
"lag_coefs[-4, usdyen, usdyuan]",0.013,0.098,-0.18,0.182,0.001,0.002,4364.0,1637.0,1.0
"lag_coefs[-4, usdyen, wui]",0.016,0.019,-0.019,0.054,0.0,0.0,4061.0,1572.0,1.0
"lag_coefs[-4, usdyuan, World_oil_prod]",0.004,0.067,-0.113,0.135,0.001,0.002,3593.0,1516.0,1.0
"lag_coefs[-4, usdyuan, Real_price_oil]",-0.023,0.009,-0.04,-0.006,0.0,0.0,2276.0,1520.0,1.0
"lag_coefs[-4, usdyuan, glob_eco_act]",-0.075,0.075,-0.216,0.061,0.001,0.001,3870.0,1692.0,1.0
"lag_coefs[-4, usdyuan, usdinr]",-0.059,0.043,-0.142,0.016,0.001,0.001,2842.0,1795.0,1.0
"lag_coefs[-4, usdyuan, usdyen]",0.006,0.038,-0.071,0.075,0.001,0.001,2828.0,1366.0,1.0
"lag_coefs[-4, usdyuan, usdyuan]",0.088,0.083,-0.081,0.237,0.002,0.002,2897.0,1158.0,1.0
"lag_coefs[-4, usdyuan, wui]",-0.009,0.005,-0.019,-0.001,0.0,0.0,2360.0,1543.0,1.0
"lag_coefs[-4, wui, World_oil_prod]",-0.002,0.095,-0.182,0.171,0.001,0.002,4935.0,1359.0,1.0
"lag_coefs[-4, wui, Real_price_oil]",0.018,0.092,-0.151,0.187,0.001,0.002,5167.0,1695.0,1.0
"lag_coefs[-4, wui, glob_eco_act]",-0.002,0.101,-0.196,0.181,0.002,0.003,4559.0,1527.0,1.0
"lag_coefs[-4, wui, usdinr]",0.001,0.103,-0.185,0.198,0.002,0.003,4433.0,1376.0,1.0
"lag_coefs[-4, wui, usdyen]",-0.007,0.102,-0.195,0.188,0.001,0.002,4874.0,1626.0,1.0
"lag_coefs[-4, wui, usdyuan]",-0.0,0.102,-0.185,0.197,0.002,0.003,4374.0,1230.0,1.0
"lag_coefs[-4, wui, wui]",-0.048,0.079,-0.202,0.086,0.001,0.002,4580.0,1267.0,1.0
noise[World_oil_prod],0.014,0.002,0.011,0.017,0.0,0.0,1751.0,1461.0,1.0
noise[Real_price_oil],0.183,0.019,0.149,0.219,0.0,0.0,3464.0,1368.0,1.0
noise[glob_eco_act],0.01,0.001,0.008,0.013,0.0,0.0,1249.0,1610.0,1.0
noise[usdinr],0.035,0.004,0.028,0.042,0.0,0.0,2447.0,1498.0,1.0
noise[usdyen],0.043,0.005,0.034,0.052,0.0,0.0,2350.0,1580.0,1.0
noise[usdyuan],0.009,0.001,0.007,0.011,0.0,0.0,1322.0,1336.0,1.0
noise[wui],0.323,0.033,0.265,0.387,0.0,0.0,4645.0,1613.0,1.0
