,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-4, wui, Real_price_oil]",0.017,0.093,-0.148,0.197,0.002,0.002,2278.0,1583.0,1.0
"lag_coefs[-4, wui, glob_eco_act]",-0.002,0.102,-0.199,0.185,0.002,0.003,2821.0,1224.0,1.0
"lag_coefs[-4, wui, usdyuan]",0.0,0.102,-0.189,0.184,0.002,0.002,2545.0,1440.0,1.0
"lag_coefs[-4, wui, wui]",-0.048,0.083,-0.2,0.113,0.001,0.002,3340.0,1544.0,1.0
"lag_coefs[-4, wui, china_gdp]",-0.027,0.097,-0.203,0.152,0.001,0.002,4434.0,1536.0,1.0
"lag_coefs[-4, china_gdp, World_oil_prod]",-0.032,0.094,-0.19,0.152,0.002,0.002,2655.0,1323.0,1.01
"lag_coefs[-4, china_gdp, Real_price_oil]",0.005,0.026,-0.048,0.049,0.001,0.001,1570.0,1252.0,1.0
"lag_coefs[-4, china_gdp, glob_eco_act]",0.013,0.093,-0.165,0.185,0.002,0.002,2175.0,1466.0,1.0
"lag_coefs[-4, china_gdp, usdyuan]",0.035,0.1,-0.154,0.217,0.002,0.002,2527.0,1552.0,1.0
"lag_coefs[-4, china_gdp, wui]",0.007,0.013,-0.016,0.03,0.0,0.0,2225.0,1592.0,1.0
"lag_coefs[-4, china_gdp, china_gdp]",0.715,0.057,0.6,0.812,0.002,0.001,809.0,1138.0,1.0
noise[World_oil_prod],0.013,0.002,0.01,0.016,0.0,0.0,1464.0,1402.0,1.0
noise[Real_price_oil],0.183,0.019,0.15,0.22,0.0,0.0,1750.0,1502.0,1.0
noise[glob_eco_act],0.011,0.001,0.008,0.013,0.0,0.0,1174.0,1498.0,1.0
noise[usdyuan],0.009,0.001,0.007,0.011,0.0,0.0,1149.0,1328.0,1.01
noise[wui],0.321,0.033,0.262,0.383,0.001,0.0,2308.0,1559.0,1.0
noise[china_gdp],0.027,0.004,0.02,0.034,0.0,0.0,1197.0,1504.0,1.0
